match_id,phase,group,date_arg,time_arg,home_team,away_team,city,timezone,status
1,Group stage,A,2026-06-11,16:00,Mexico,South Africa,Mexico City,ART_UTC-3,scheduled
2,Group stage,A,2026-06-11,23:00,South Korea,DEN/CZE,Guadalajara,ART_UTC-3,scheduled
3,Group stage,B,2026-06-12,16:00,Canada,ITA/BIH,Toronto,ART_UTC-3,scheduled
4,Group stage,D,2026-06-12,22:00,USA,Paraguay,Los Angeles,ART_UTC-3,scheduled
5,Group stage,C,2026-06-13,22:00,Haiti,Scotland,Boston,ART_UTC-3,scheduled
6,Group stage,D,2026-06-14,01:00,Australia,TUR/KOS,Vancouver,ART_UTC-3,scheduled
7,Group stage,C,2026-06-13,19:00,Brazil,Morocco,New York,ART_UTC-3,scheduled
8,Group stage,B,2026-06-13,16:00,Qatar,Switzerland,SF Bay Area,ART_UTC-3,scheduled
9,Group stage,E,2026-06-14,20:00,Ivory Coast,Ecuador,Philadelphia,ART_UTC-3,scheduled
10,Group stage,E,2026-06-14,14:00,Germany,Curacao,Houston,ART_UTC-3,scheduled
11,Group stage,F,2026-06-14,17:00,Netherlands,Japan,Dallas,ART_UTC-3,scheduled
12,Group stage,F,2026-06-14,23:00,SWE/POL,Tunisia,Monterrey,ART_UTC-3,scheduled
13,Group stage,H,2026-06-15,19:00,Saudi Arabia,Uruguay,Miami,ART_UTC-3,scheduled
14,Group stage,H,2026-06-15,13:00,Spain,Cape Verde,Atlanta,ART_UTC-3,scheduled
15,Group stage,G,2026-06-15,22:00,Iran,New Zealand,Los Angeles,ART_UTC-3,scheduled
16,Group stage,G,2026-06-15,16:00,Belgium,Egypt,Seattle,ART_UTC-3,scheduled
17,Group stage,I,2026-06-16,16:00,France,Senegal,New York,ART_UTC-3,scheduled
18,Group stage,I,2026-06-16,19:00,BOL/IRQ,Norway,Boston,ART_UTC-3,scheduled
19,Group stage,J,2026-06-16,22:00,Argentina,Algeria,Kansas City,ART_UTC-3,scheduled
20,Group stage,J,2026-06-17,01:00,Austria,Jordan,SF Bay Area,ART_UTC-3,scheduled
21,Group stage,L,2026-06-17,20:00,Ghana,Panama,Toronto,ART_UTC-3,scheduled
22,Group stage,L,2026-06-17,17:00,England,Croatia,Dallas,ART_UTC-3,scheduled
23,Group stage,K,2026-06-17,14:00,Portugal,JAM/COD,Houston,ART_UTC-3,scheduled
24,Group stage,K,2026-06-17,23:00,Uzbekistan,Colombia,Mexico City,ART_UTC-3,scheduled
25,Group stage,A,2026-06-18,13:00,DEN/CZE,South Africa,Atlanta,ART_UTC-3,scheduled
26,Group stage,B,2026-06-18,16:00,Switzerland,ITA/BIH,Los Angeles,ART_UTC-3,scheduled
27,Group stage,B,2026-06-18,19:00,Canada,Qatar,Vancouver,ART_UTC-3,scheduled
28,Group stage,A,2026-06-18,22:00,Mexico,South Korea,Guadalajara,ART_UTC-3,scheduled
29,Group stage,C,2026-06-19,22:00,Brazil,Haiti,Philadelphia,ART_UTC-3,scheduled
30,Group stage,C,2026-06-19,19:00,Scotland,Morocco,Boston,ART_UTC-3,scheduled
31,Group stage,D,2026-06-20,00:00,TUR/KOS,Paraguay,SF Bay Area,ART_UTC-3,scheduled
32,Group stage,D,2026-06-19,16:00,USA,Australia,Seattle,ART_UTC-3,scheduled
33,Group stage,E,2026-06-20,17:00,Germany,Ivory Coast,Toronto,ART_UTC-3,scheduled
34,Group stage,E,2026-06-20,21:00,Ecuador,Curacao,Kansas City,ART_UTC-3,scheduled
35,Group stage,F,2026-06-20,14:00,Netherlands,SWE/POL,Houston,ART_UTC-3,scheduled
36,Group stage,F,2026-06-21,01:00,Tunisia,Japan,Monterrey,ART_UTC-3,scheduled
37,Group stage,H,2026-06-21,19:00,Uruguay,Cape Verde,Miami,ART_UTC-3,scheduled
38,Group stage,H,2026-06-21,13:00,Spain,Saudi Arabia,Atlanta,ART_UTC-3,scheduled
39,Group stage,G,2026-06-21,16:00,Belgium,Iran,Los Angeles,ART_UTC-3,scheduled
40,Group stage,G,2026-06-21,22:00,New Zealand,Egypt,Vancouver,ART_UTC-3,scheduled
41,Group stage,I,2026-06-22,21:00,Norway,Senegal,New York,ART_UTC-3,scheduled
42,Group stage,I,2026-06-22,18:00,France,BOL/IRQ,Philadelphia,ART_UTC-3,scheduled
